Респ Адыгея, г Адыгейск;Адыгейск;UTC+3;44.878414;39.190289
г Майкоп;Майкоп;UTC+3;44.6098268;40.1006606
г Горно-Алтайск;Горно-Алтайск;UTC+7;51.9581028;85.9603235
Алтайский край, г Алейск;Алейск;UTC+7;52.4922513;82.7793606
г Барнаул;Барнаул;UTC+7;53.3479968;83.7798064
Алтайский край, г Белокуриха;Белокуриха;UTC+7;51.996152;84.9839604
Алтайский край, г Бийск;Бийск;UTC+7;52.5393864;85.2138453
Алтайский край, г Горняк;Горняк;UTC+7;50.9979622;81.4643358
Алтайский край, г Заринск;Заринск;UTC+7;53.7063476;84.9315081
Алтайский край, г Змеиногорск;Змеиногорск;UTC+7;51.1581094;82.1872547
Алтайский край, г Камень-на-Оби;Камень-на-Оби;UTC+7;53.7913974;81.3545053
Алтайский край, г Новоалтайск;Новоалтайск;UTC+7;53.4119759;83.9311069
Алтайский край, г Рубцовск;Рубцовск;UTC+7;51.5012067;81.2078695
Алтайский край, г Славгород;Славгород;UTC+7;52.999463;78.6459232
Алтайский край, г Яровое;Яровое;UTC+7;52.9252146;78.5729775
Амурская обл, г Белогорск;Белогорск;UTC+9;50.9213415;128.4739471
г Благовещенск;Благовещенск;UTC+9;50.290659;127.527198
Амурская обл, г Завитинск;Завитинск;UTC+9;50.1064111;129.4391813
Амурская обл, г Зея;Зея;UTC+9;53.7340088;127.265787
Амурская обл, г Райчихинск;Райчихинск;UTC+9;49.7941615;129.4112492
Амурская обл, г Свободный;Свободный;UTC+9;51.3614103;128.1219729
Амурская обл, г Сковородино;Сковородино;UTC+9;53.9871095;123.9437205
Амурская обл, г Тында;Тында;UTC+9;55.1546441;124.7468904
Амурская обл, г Циолковский;Циолковский;UTC+9;51.762481;128.1219846
Амурская обл, г Шимановск;Шимановск;UTC+9;52.0051886;127.7005458
г Архангельск;Архангельск;UTC+3;64.5394289;40.5169606
Архангельская обл, г Вельск;Вельск;UTC+3;61.066;42.1032789
Архангельская обл, г Каргополь;Каргополь;UTC+3;61.5009724;38.9636966
Архангельская обл, г Коряжма;Коряжма;UTC+3;61.2885948;47.1003015
Архангельская обл, г Котлас;Котлас;UTC+3;61.2528972;46.633242
Архангельская обл, г Мезень;Мезень;UTC+3;65.8398078;44.2532273
Архангельская обл, г Мирный;Мирный;UTC+3;62.7645265;40.3360076
Архангельская обл, г Новодвинск;Новодвинск;UTC+3;64.4136851;40.8208143
Архангельская обл, г Няндома;Няндома;UTC+3;61.6654674;40.2062947
Архангельская обл, г Онега;Онега;UTC+3;63.9162928;38.0805031
Архангельская обл, г Северодвинск;Северодвинск;UTC+3;64.5625385;39.8180934
Архангельская обл, Котласский р-н, г Сольвычегодск;Сольвычегодск;UTC+3;61.3319616;46.920441
Архангельская обл, г Шенкурск;Шенкурск;UTC+3;62.1057272;42.8996973
г Астрахань;Астрахань;UTC+4;46.3655652;48.0559236
